site_id	lat	lon	drainage_area
05488500	41.28139069	-92.86150400	12479
05489000	41.21900210	-92.90853320	374
05489500	41.01084795	-92.41129630	13374
05490500	40.72780589	-91.95961700	14038
05494300	40.76946560	-92.41879640	87.7
06483290	43.42297230	-96.16488720	853
06483495	43.24525718	-96.17752300	30.9
06483500	43.21442590	-96.29447090	1592
06485500	42.83752049	-96.56192190	7879
06485950	42.52443909	-96.48050300	8430
06486000	42.48582760	-96.41391840	314600
06599900	42.69333330	-96.37030560	14.8
06599950	42.61971530	-96.37252790	33.1
06600000	42.53488295	-96.41072360	65.1
06600030	43.18600000	-95.72511110	8.44
06600100	42.98193136	-96.00112890	268
06600500	42.57665960	-96.31141560	886
06601200	42.00721010	-96.24168800	316200
06602020	42.22693509	-96.07807160	403
06602190	42.47499264	-96.18974570	34.8
06602400	41.96443228	-95.99195540	900
06603750	43.45869444	-95.34358330	16.7
06604000	43.46968400	-95.12388420	75.6
06604200	43.37857499	-95.18138570	125
06604440	43.21277778	-95.23916670	523
06605000	43.12802620	-95.21083040	426
06605750	42.97250000	-95.16111110	78.6
06605850	42.89581088	-95.24333030	1548
06606600	42.48222220	-95.79261110	2500
06607200	42.15693380	-95.81000700	669
06607500	41.96443230	-95.97278840	3526
06608500	41.83054358	-95.93139890	407
06609100	41.55055556	-96.09638890	321400
06609500	41.64161110	-95.78222220	871
06609560	41.92137740	-95.70167250	29.1
06610000	41.25888735	-95.92251380	322800
06610505	41.18916667	-95.86250000	322840
06805600	41.00111040	-95.86667510	
06805850	41.10211110	-95.71841670	154
06807000	40.68194600	-95.84694600	410000
06807410	41.38999164	-95.37166660	609
06808500	40.87305470	-95.58027460	1326
06808820	40.68713960	-95.60049290	1647
06809210	41.34610120	-95.07693550	436
06809500	41.00860430	-95.24165820	894
06809900	40.69461110	-95.56258330	1105
06810000	40.60166667	-95.64500000	2806
06810030	40.55472220	-95.65888890	63.7
06810070	40.39888889	-95.65333330	
06811760	41.10165760	-95.10276700	10.7
06811800	41.07999087	-95.09304400	4.66
06811875	40.74249256	-95.12970390	9.10
06813500	40.05363889	-95.42241670	414900
06817000	40.74327778	-95.01419440	762
06819185	40.66054330	-94.71663550	85.4
06898000	40.64027956	-93.80827960	701
06903400	40.95189005	-93.25984770	182
06903700	40.80056114	-93.19243030	168
06903880	40.82501100	-92.89269880	549
06903900	40.82187224	-92.89125430	549
06904010	40.69251740	-92.77241790	740
404113095360001	40.68713889	-95.60022220	
404140095334501	40.69461110	-95.56258330	
404753091054200	40.79809489	-91.09514489	
405747093233201	40.96305619	-93.39298940	
410057095075101	41.01582480	-95.13082170	
410516091431301	41.08794444	-91.72036110	
410607095430601	41.10211110	-95.71841670	
412522091021200	41.42280644	-91.03681600	
414010091210201	41.66958330	-91.35063890	
414208091204701	41.70247220	-91.34655560	
414209091215801	41.70266667	-91.36619440	
414315091252002	41.72112840	-91.42238910	
414345091253801	41.72916667	-91.42738890	
414714091184901	41.78722220	-91.31375000	
415439093094801	41.91083330	-93.16333330	
415819090573601	41.97194444	-90.96000000	
420117092505601	42.02125000	-92.84897220	
420151091364201	42.03094444	-91.61186110	
420212095235701	42.03666667	-95.39916670	
421145091252201	42.19583330	-91.42277780	
421539090252100	42.26084897	-90.42262840	
422813091072801	42.47033330	-91.12455560	
424136096221301	42.69333330	-96.37030560	
424327093564801	42.72441667	-93.94669440	
425038091490501	42.84413889	-91.81816670	
430019092553201	43.00538889	-92.92558330	
430159093403201	43.03311110	-93.67552780	
430510093425101	43.08611110	-93.71416670	
431226091570101	43.20727778	-91.95033330	
431246095142101	43.21277778	-95.23916670	
431700092510901	43.28347220	-92.85250000	
