	timestamp(CST)	stage(ft)
409	2016-07-08 04:45:10-05	0.34
410	2016-07-08 04:30:12-05	0.34
411	2016-07-08 04:15:00-05	0.36
412	2016-07-08 04:00:03-05	0.37
413	2016-07-08 03:45:06-05	0.34
414	2016-07-08 03:30:09-05	0.37
415	2016-07-08 03:15:11-05	0.37
416	2016-07-08 03:00:14-05	0.37
417	2016-07-08 02:45:01-05	0.37
418	2016-07-08 02:30:04-05	0.38
419	2016-07-08 02:15:07-05	0.37
420	2016-07-08 02:00:10-05	0.35
421	2016-07-08 01:45:13-05	0.36
422	2016-07-08 01:30:01-05	0.38
423	2016-07-08 01:15:03-05	0.37
424	2016-07-08 01:00:06-05	0.37
425	2016-07-08 00:45:09-05	0.37
426	2016-07-08 00:30:11-05	0.37
427	2016-07-08 00:15:00-05	0.37
428	2016-07-08 00:00:02-05	0.34
429	2016-07-07 23:45:05-05	0.31
430	2016-07-07 23:30:08-05	0.32
431	2016-07-07 23:15:05-05	0.31
432	2016-07-07 23:00:07-05	0.33
433	2016-07-07 22:45:03-05	0.35
434	2016-07-07 22:30:12-05	0.34
435	2016-07-07 22:15:14-05	0.34
436	2016-07-07 22:00:08-05	0.36
437	2016-07-07 21:45:10-05	0.34
438	2016-07-07 21:30:13-05	0.32
439	2016-07-07 21:15:01-05	0.3
440	2016-07-07 21:00:03-05	0.3
441	2016-07-07 20:45:05-05	0.32
442	2016-07-07 20:30:08-05	0.31
443	2016-07-07 20:15:11-05	0.32
444	2016-07-07 20:00:14-05	0.32
445	2016-07-07 19:45:00-05	0.31
446	2016-07-07 19:30:03-05	0.3
447	2016-07-07 19:15:02-05	0.31
448	2016-07-07 19:00:06-05	0.3
449	2016-07-07 18:45:10-05	0.3
450	2016-07-07 18:30:12-05	0.32
451	2016-07-07 18:15:14-05	0.31
452	2016-07-07 18:00:02-05	0.32
453	2016-07-07 17:45:05-05	0.34
454	2016-07-07 17:30:07-05	0.3
455	2016-07-07 17:15:11-05	0.33
456	2016-07-07 17:00:14-05	0.36
457	2016-07-07 16:45:02-05	0.35
458	2016-07-07 16:30:03-05	0.33
459	2016-07-07 16:15:06-05	0.34
460	2016-07-07 16:00:09-05	0.36
461	2016-07-07 15:45:11-05	0.37
462	2016-07-07 15:30:14-05	0.38
463	2016-07-07 15:15:02-05	0.36
464	2016-07-07 15:00:05-05	0.36
465	2016-07-07 14:45:07-05	0.36
466	2016-07-07 14:30:10-05	0.36
467	2016-07-07 14:15:13-05	0.38
468	2016-07-07 14:00:14-05	0.37
469	2016-07-07 13:45:01-05	0.38
470	2016-07-07 13:30:04-05	0.4
471	2016-07-07 13:15:07-05	0.41
472	2016-07-07 13:00:09-05	0.43
473	2016-07-07 12:45:11-05	0.42
474	2016-07-07 12:30:14-05	0.44
475	2016-07-07 12:15:02-05	0.45
476	2016-07-07 12:00:05-05	0.44
477	2016-07-07 11:45:07-05	0.45
478	2016-07-07 11:30:10-05	0.42
479	2016-07-07 11:15:13-05	0.45
480	2016-07-07 11:00:01-05	0.43
481	2016-07-07 10:45:04-05	0.43
482	2016-07-07 10:30:07-05	0.42
483	2016-07-07 10:15:10-05	0.42
484	2016-07-07 10:00:12-05	0.44
485	2016-07-07 09:45:00-05	0.45
486	2016-07-07 09:30:03-05	0.45
487	2016-07-07 09:15:06-05	0.42
488	2016-07-07 09:00:07-05	0.43
489	2016-07-07 08:45:10-05	0.43
490	2016-07-07 08:30:07-05	0.42
491	2016-07-07 08:15:06-05	0.37
492	2016-07-07 08:00:03-05	0.4
493	2016-07-07 07:45:04-05	0.38
494	2016-07-07 07:30:06-05	0.38
495	2016-07-07 07:15:08-05	0.36
496	2016-07-07 07:00:05-05	0.39
497	2016-07-07 06:45:07-05	0.39
498	2016-07-07 06:30:08-05	0.37
499	2016-07-07 06:15:11-05	0.37
500	2016-07-07 06:00:11-05	0.36
501	2016-07-07 05:45:13-05	0.37
502	2016-07-07 05:30:01-05	0.34
503	2016-07-07 05:15:03-05	0.37
504	2016-07-07 05:00:05-05	0.37
505	2016-07-07 04:45:07-05	0.38
506	2016-07-07 04:30:10-05	0.38
