	timestamp(CST)	stage(ft)
30	2016-09-19 07:30:03-05	1.46
31	2016-09-19 07:15:02-05	1.46
32	2016-09-19 07:00:11-05	1.42
33	2016-09-19 06:45:09-05	1.42
34	2016-09-19 06:30:08-05	1.41
35	2016-09-19 06:15:07-05	1.41
36	2016-09-19 06:00:01-05	1.44
37	2016-09-19 05:45:00-05	1.43
38	2016-09-19 05:30:13-05	1.46
39	2016-09-19 05:15:12-05	1.45
40	2016-09-19 05:00:06-05	1.44
41	2016-09-19 04:45:04-05	1.44
42	2016-09-19 04:30:03-05	1.45
43	2016-09-19 04:15:02-05	1.45
44	2016-09-19 04:00:10-05	1.44
45	2016-09-19 03:45:09-05	1.45
46	2016-09-19 03:30:08-05	1.44
47	2016-09-19 03:15:06-05	1.44
48	2016-09-19 03:00:00-05	1.46
49	2016-09-19 02:45:14-05	1.45
50	2016-09-19 02:30:12-05	1.45
51	2016-09-19 02:15:11-05	1.45
52	2016-09-19 02:00:05-05	1.45
53	2016-09-19 01:45:04-05	1.45
54	2016-09-19 01:30:02-05	1.46
55	2016-09-19 01:15:01-05	1.48
56	2016-09-19 01:00:10-05	1.47
57	2016-09-19 00:45:08-05	1.48
58	2016-09-19 00:30:07-05	1.46
59	2016-09-19 00:15:06-05	1.47
60	2016-09-19 00:00:00-05	1.45
61	2016-09-18 23:45:13-05	1.47
62	2016-09-18 23:30:12-05	1.46
63	2016-09-18 23:15:11-05	1.46
64	2016-09-18 23:00:05-05	1.47
65	2016-09-18 22:45:04-05	1.48
66	2016-09-18 22:30:03-05	1.47
67	2016-09-18 22:15:01-05	1.48
68	2016-09-18 22:00:10-05	1.5
69	2016-09-18 21:45:08-05	1.51
70	2016-09-18 21:30:07-05	1.5
71	2016-09-18 21:15:06-05	1.51
72	2016-09-18 21:00:14-05	1.51
73	2016-09-18 20:45:13-05	1.5
74	2016-09-18 20:30:12-05	1.51
75	2016-09-18 20:15:11-05	1.48
76	2016-09-18 20:00:04-05	1.46
77	2016-09-18 19:45:03-05	1.46
78	2016-09-18 19:30:02-05	1.45
79	2016-09-18 19:15:01-05	1.46
80	2016-09-18 19:00:09-05	1.46
81	2016-09-18 18:45:08-05	1.47
82	2016-09-18 18:30:06-05	1.49
83	2016-09-18 18:15:05-05	1.49
84	2016-09-18 18:00:13-05	1.49
85	2016-09-18 17:45:12-05	1.47
86	2016-09-18 17:30:11-05	1.5
87	2016-09-18 17:15:10-05	1.5
88	2016-09-18 17:00:03-05	1.49
89	2016-09-18 16:45:02-05	1.52
90	2016-09-18 16:30:01-05	1.53
91	2016-09-18 16:15:14-05	1.53
92	2016-09-18 16:00:08-05	1.53
93	2016-09-18 15:45:06-05	1.55
94	2016-09-18 15:30:05-05	1.53
95	2016-09-18 15:15:04-05	1.56
96	2016-09-18 15:00:12-05	1.54
97	2016-09-18 14:45:11-05	1.58
98	2016-09-18 14:30:10-05	1.61
99	2016-09-18 14:15:09-05	1.6
100	2016-09-18 14:00:03-05	1.61
101	2016-09-18 13:45:02-05	1.63
102	2016-09-18 13:30:01-05	1.61
103	2016-09-18 13:15:14-05	1.63
104	2016-09-18 13:00:08-05	1.65
105	2016-09-18 12:45:07-05	1.67
106	2016-09-18 12:30:05-05	1.69
107	2016-09-18 12:15:04-05	1.67
108	2016-09-18 12:00:13-05	1.7
109	2016-09-18 11:45:11-05	1.7
110	2016-09-18 11:30:10-05	1.72
111	2016-09-18 11:15:09-05	1.71
112	2016-09-18 11:00:03-05	1.72
113	2016-09-18 10:45:02-05	1.72
114	2016-09-18 10:30:00-05	1.72
115	2016-09-18 10:15:14-05	1.72
116	2016-09-18 10:00:06-05	1.73
117	2016-09-18 09:45:05-05	1.73
118	2016-09-18 09:30:04-05	1.73
119	2016-09-18 09:15:03-05	1.73
120	2016-09-18 09:00:06-05	1.72
121	2016-09-18 08:45:04-05	1.73
122	2016-09-18 08:30:03-05	1.73
123	2016-09-18 08:15:02-05	1.73
124	2016-09-18 08:00:10-05	1.72
125	2016-09-18 07:45:08-05	1.72
126	2016-09-18 07:30:07-05	1.7
127	2016-09-18 07:15:06-05	1.71
128	2016-09-18 07:00:07-05	1.7
129	2016-09-18 06:45:06-05	1.7
130	2016-09-18 06:30:05-05	1.7
131	2016-09-18 06:15:04-05	1.69
132	2016-09-18 06:00:09-05	1.69
133	2016-09-18 05:45:07-05	1.69
134	2016-09-18 05:30:06-05	1.69
135	2016-09-18 05:15:05-05	1.7
136	2016-09-18 05:00:11-05	1.71
137	2016-09-18 04:45:10-05	1.7
138	2016-09-18 04:30:08-05	1.7
139	2016-09-18 04:15:07-05	1.71
140	2016-09-18 04:00:00-05	1.72
141	2016-09-18 03:45:14-05	1.71
142	2016-09-18 03:30:12-05	1.71
143	2016-09-18 03:15:11-05	1.72
144	2016-09-18 03:00:05-05	1.73
145	2016-09-18 02:45:03-05	1.73
146	2016-09-18 02:30:02-05	1.71
147	2016-09-18 02:15:01-05	1.72
148	2016-09-18 02:00:09-05	1.73
149	2016-09-18 01:45:08-05	1.72
150	2016-09-18 01:30:07-05	1.72
151	2016-09-18 01:15:05-05	1.73
152	2016-09-18 01:00:14-05	1.74
153	2016-09-18 00:45:12-05	1.74
154	2016-09-18 00:30:11-05	1.74
155	2016-09-18 00:15:10-05	1.75
156	2016-09-18 00:00:04-05	1.75
157	2016-09-17 23:45:02-05	1.76
158	2016-09-17 23:30:01-05	1.76
159	2016-09-17 23:15:00-05	1.77
160	2016-09-17 23:00:08-05	1.77
161	2016-09-17 22:45:07-05	1.77
162	2016-09-17 22:30:06-05	1.77
163	2016-09-17 22:15:05-05	1.77
164	2016-09-17 22:00:13-05	1.79
165	2016-09-17 21:45:11-05	1.78
166	2016-09-17 21:30:10-05	1.79
167	2016-09-17 21:15:09-05	1.79
168	2016-09-17 21:00:03-05	1.8
169	2016-09-17 20:45:01-05	1.81
170	2016-09-17 20:30:00-05	1.81
171	2016-09-17 20:15:14-05	1.81
172	2016-09-17 20:00:07-05	1.82
173	2016-09-17 19:45:05-05	1.81
174	2016-09-17 19:30:04-05	1.8
175	2016-09-17 19:15:03-05	1.81
176	2016-09-17 19:00:10-05	1.81
177	2016-09-17 18:45:09-05	1.82
178	2016-09-17 18:30:08-05	1.82
179	2016-09-17 18:15:07-05	1.83
180	2016-09-17 18:00:00-05	1.84
181	2016-09-17 17:45:14-05	1.85
182	2016-09-17 17:30:13-05	1.86
183	2016-09-17 17:15:12-05	1.87
184	2016-09-17 17:00:05-05	1.88
185	2016-09-17 16:45:04-05	1.87
186	2016-09-17 16:30:03-05	1.88
187	2016-09-17 16:15:02-05	1.89
188	2016-09-17 16:00:10-05	1.91
189	2016-09-17 15:45:09-05	1.92
190	2016-09-17 15:30:08-05	1.93
191	2016-09-17 15:15:07-05	1.93
192	2016-09-17 15:00:14-05	1.96
193	2016-09-17 14:45:13-05	1.96
194	2016-09-17 14:30:12-05	1.98
195	2016-09-17 14:15:11-05	1.98
196	2016-09-17 14:00:03-05	1.98
197	2016-09-17 13:45:02-05	1.99
198	2016-09-17 13:30:01-05	2.0
199	2016-09-17 13:15:14-05	2.01
200	2016-09-17 13:00:08-05	2.02
201	2016-09-17 12:45:07-05	2.03
202	2016-09-17 12:30:05-05	2.03
203	2016-09-17 12:15:04-05	2.05
204	2016-09-17 12:00:13-05	2.08
205	2016-09-17 11:45:12-05	2.07
206	2016-09-17 11:30:10-05	2.09
207	2016-09-17 11:15:09-05	2.07
208	2016-09-17 11:00:03-05	2.09
209	2016-09-17 10:45:02-05	2.1
210	2016-09-17 10:30:01-05	2.1
211	2016-09-17 10:15:14-05	2.12
212	2016-09-17 10:00:08-05	2.11
213	2016-09-17 09:45:07-05	2.11
214	2016-09-17 09:30:06-05	2.11
215	2016-09-17 09:15:05-05	2.13
216	2016-09-17 09:00:13-05	2.14
217	2016-09-17 08:45:12-05	2.15
218	2016-09-17 08:30:10-05	2.15
219	2016-09-17 08:15:09-05	2.16
220	2016-09-17 08:00:03-05	2.16
221	2016-09-17 07:45:02-05	2.15
222	2016-09-17 07:30:01-05	2.13
223	2016-09-17 07:15:14-05	2.13
224	2016-09-17 07:00:08-05	2.15
225	2016-09-17 06:45:07-05	2.15
226	2016-09-17 06:30:06-05	2.15
227	2016-09-17 06:15:05-05	2.18
228	2016-09-17 06:00:13-05	2.19
229	2016-09-17 05:45:12-05	2.2
230	2016-09-17 05:30:10-05	2.21
231	2016-09-17 05:15:09-05	2.17
232	2016-09-17 05:00:03-05	2.17
233	2016-09-17 04:45:02-05	2.19
234	2016-09-17 04:30:01-05	2.19
235	2016-09-17 04:15:14-05	2.19
236	2016-09-17 04:00:08-05	2.2
237	2016-09-17 03:45:07-05	2.2
238	2016-09-17 03:30:05-05	2.21
239	2016-09-17 03:15:04-05	2.21
240	2016-09-17 03:00:13-05	2.21
241	2016-09-17 02:45:11-05	2.22
242	2016-09-17 02:30:10-05	2.22
243	2016-09-17 02:15:09-05	2.24
244	2016-09-17 02:00:03-05	2.24
245	2016-09-17 01:45:02-05	2.25
246	2016-09-17 01:30:00-05	2.27
247	2016-09-17 01:15:14-05	2.27
248	2016-09-17 01:00:07-05	2.27
249	2016-09-17 00:45:06-05	2.28
250	2016-09-17 00:30:05-05	2.29
251	2016-09-17 00:15:04-05	2.3
252	2016-09-17 00:00:12-05	2.3
253	2016-09-16 23:45:11-05	2.31
254	2016-09-16 23:30:10-05	2.32
255	2016-09-16 23:15:08-05	2.33
256	2016-09-16 23:00:02-05	2.32
257	2016-09-16 22:45:00-05	2.33
258	2016-09-16 22:30:14-05	2.35
259	2016-09-16 22:15:13-05	2.37
260	2016-09-16 22:00:05-05	2.38
261	2016-09-16 21:45:03-05	2.39
262	2016-09-16 21:30:02-05	2.4
263	2016-09-16 21:15:01-05	2.4
264	2016-09-16 21:00:04-05	2.39
265	2016-09-16 20:45:03-05	2.41
266	2016-09-16 20:30:02-05	2.41
267	2016-09-16 20:15:01-05	2.41
268	2016-09-16 20:00:07-05	2.42
269	2016-09-16 19:45:06-05	2.42
270	2016-09-16 19:30:05-05	2.44
271	2016-09-16 19:15:04-05	2.45
272	2016-09-16 19:00:07-05	2.47
273	2016-09-16 18:45:06-05	2.48
274	2016-09-16 18:30:04-05	2.49
275	2016-09-16 18:15:03-05	2.5
276	2016-09-16 18:00:13-05	2.52
277	2016-09-16 17:45:12-05	2.53
278	2016-09-16 17:30:11-05	2.54
279	2016-09-16 17:15:10-05	2.55
280	2016-09-16 17:00:04-05	2.56
281	2016-09-16 16:45:02-05	2.58
282	2016-09-16 16:30:01-05	2.58
283	2016-09-16 16:15:00-05	2.59
284	2016-09-16 16:00:08-05	2.59
285	2016-09-16 15:45:07-05	2.61
286	2016-09-16 15:30:06-05	2.62
287	2016-09-16 15:15:05-05	2.63
288	2016-09-16 15:00:12-05	2.66
289	2016-09-16 14:45:11-05	2.67
290	2016-09-16 14:30:10-05	2.69
291	2016-09-16 14:15:09-05	2.71
292	2016-09-16 14:00:02-05	2.72
293	2016-09-16 13:45:01-05	2.72
294	2016-09-16 13:30:00-05	2.75
295	2016-09-16 13:15:14-05	2.77
296	2016-09-16 13:00:07-05	2.78
297	2016-09-16 12:45:06-05	2.81
298	2016-09-16 12:30:05-05	2.83
299	2016-09-16 12:15:04-05	2.84
300	2016-09-16 12:00:11-05	2.85
301	2016-09-16 11:45:10-05	2.89
302	2016-09-16 11:30:09-05	1.01
303	2016-09-16 11:15:08-05	2.94
304	2016-09-16 11:00:02-05	2.96
305	2016-09-16 10:45:01-05	2.99
306	2016-09-16 10:30:14-05	3.01
307	2016-09-16 10:15:13-05	3.03
308	2016-09-16 10:00:06-05	3.07
309	2016-09-16 09:45:05-05	3.12
310	2016-09-16 09:30:04-05	3.14
311	2016-09-16 09:15:03-05	3.18
312	2016-09-16 09:00:11-05	3.22
313	2016-09-16 08:45:09-05	3.24
314	2016-09-16 08:30:08-05	3.28
315	2016-09-16 08:15:07-05	3.3
316	2016-09-16 08:00:00-05	3.3
317	2016-09-16 07:45:13-05	3.31
318	2016-09-16 07:30:12-05	3.3
319	2016-09-16 07:15:11-05	3.3
320	2016-09-16 07:00:03-05	3.3
321	2016-09-16 06:45:02-05	3.29
322	2016-09-16 06:30:01-05	3.27
323	2016-09-16 06:15:14-05	3.24
324	2016-09-16 06:00:07-05	3.18
325	2016-09-16 05:45:06-05	3.1
326	2016-09-16 05:30:04-05	3.05
327	2016-09-16 05:15:03-05	3.01
328	2016-09-16 05:00:11-05	2.96
329	2016-09-16 04:45:10-05	2.92
330	2016-09-16 04:30:09-05	2.87
331	2016-09-16 04:15:08-05	2.89
332	2016-09-16 04:00:01-05	2.89
333	2016-09-16 03:45:00-05	2.88
334	2016-09-16 03:30:14-05	2.88
335	2016-09-16 03:15:13-05	2.84
336	2016-09-16 03:00:06-05	2.88
337	2016-09-16 02:45:05-05	2.88
338	2016-09-16 02:30:04-05	2.86
339	2016-09-16 02:15:03-05	2.85
340	2016-09-16 02:00:10-05	2.82
341	2016-09-16 01:45:09-05	2.85
342	2016-09-16 01:30:08-05	2.82
343	2016-09-16 01:15:07-05	2.86
344	2016-09-16 01:00:00-05	2.87
345	2016-09-16 00:45:14-05	2.91
346	2016-09-16 00:30:13-05	2.98
347	2016-09-16 00:15:11-05	3.04
348	2016-09-16 00:00:02-05	3.14
349	2016-09-15 23:45:01-05	3.18
350	2016-09-15 23:30:00-05	3.17
351	2016-09-15 23:15:14-05	3.02
352	2016-09-15 23:00:10-05	2.88
353	2016-09-15 22:45:09-05	2.63
354	2016-09-15 22:30:08-05	2.41
355	2016-09-15 22:15:07-05	1.9
356	2016-09-15 22:00:14-05	1.56
357	2016-09-15 21:45:12-05	1.24
358	2016-09-15 21:30:11-05	1.09
359	2016-09-15 21:15:10-05	0.87
360	2016-09-15 21:00:04-05	0.73
361	2016-09-15 20:45:02-05	0.64
362	2016-09-15 20:30:01-05	0.59
363	2016-09-15 20:15:00-05	0.6
364	2016-09-15 20:00:09-05	0.57
365	2016-09-15 19:45:07-05	0.62
366	2016-09-15 19:30:06-05	0.63
367	2016-09-15 19:15:05-05	0.63
368	2016-09-15 19:00:13-05	0.63
369	2016-09-15 18:45:12-05	0.64
370	2016-09-15 18:30:11-05	0.62
371	2016-09-15 18:15:09-05	0.61
372	2016-09-15 18:00:03-05	0.59
373	2016-09-15 17:45:02-05	0.57
374	2016-09-15 17:30:00-05	0.62
375	2016-09-15 17:15:14-05	0.61
376	2016-09-15 17:00:07-05	0.61
377	2016-09-15 16:45:06-05	0.61
378	2016-09-15 16:30:05-05	0.62
379	2016-09-15 16:15:04-05	0.62
380	2016-09-15 16:00:12-05	0.61
381	2016-09-15 15:45:11-05	0.65
382	2016-09-15 15:30:10-05	0.63
383	2016-09-15 15:15:09-05	0.63
384	2016-09-15 15:00:02-05	0.65
385	2016-09-15 14:45:01-05	0.67
386	2016-09-15 14:30:00-05	0.66
387	2016-09-15 14:15:13-05	0.68
388	2016-09-15 14:00:06-05	0.65
389	2016-09-15 13:45:05-05	0.68
390	2016-09-15 13:30:04-05	0.68
391	2016-09-15 13:15:03-05	0.7
392	2016-09-15 13:00:10-05	0.7
393	2016-09-15 12:45:09-05	0.7
394	2016-09-15 12:30:08-05	0.7
395	2016-09-15 12:15:07-05	0.71
396	2016-09-15 12:00:01-05	0.7
397	2016-09-15 11:45:14-05	0.72
398	2016-09-15 11:30:13-05	0.7
399	2016-09-15 11:15:12-05	0.7
400	2016-09-15 11:00:07-05	0.7
401	2016-09-15 10:45:06-05	0.69
402	2016-09-15 10:30:04-05	0.69
403	2016-09-15 10:15:03-05	0.7
404	2016-09-15 10:00:12-05	0.7
405	2016-09-15 09:45:10-05	0.7
406	2016-09-15 09:30:09-05	0.69
407	2016-09-15 09:15:08-05	0.71
408	2016-09-15 09:00:02-05	0.72
409	2016-09-15 08:45:01-05	0.71
410	2016-09-15 08:30:14-05	0.71
411	2016-09-15 08:15:13-05	0.7
412	2016-09-15 08:00:07-05	0.69
413	2016-09-15 07:45:06-05	0.7
414	2016-09-15 07:30:04-05	0.69
415	2016-09-15 07:15:03-05	0.7
416	2016-09-15 07:00:12-05	0.68
417	2016-09-15 06:45:10-05	0.69
418	2016-09-15 06:30:09-05	0.7
419	2016-09-15 06:15:08-05	0.68
420	2016-09-15 06:00:01-05	0.66
421	2016-09-15 05:45:00-05	0.7
422	2016-09-15 05:30:13-05	0.69
423	2016-09-15 05:15:12-05	0.69
424	2016-09-15 05:00:06-05	0.71
425	2016-09-15 04:45:04-05	0.69
426	2016-09-15 04:30:03-05	0.69
427	2016-09-15 04:15:02-05	0.69
428	2016-09-15 04:00:10-05	0.67
429	2016-09-15 03:45:09-05	0.67
430	2016-09-15 03:30:07-05	0.63
431	2016-09-15 03:15:06-05	0.66
432	2016-09-15 03:00:00-05	0.67
433	2016-09-15 02:45:13-05	0.66
434	2016-09-15 02:30:12-05	0.66
435	2016-09-15 02:15:11-05	0.67
436	2016-09-15 02:00:05-05	0.67
437	2016-09-15 01:45:04-05	0.68
438	2016-09-15 01:30:03-05	0.67
439	2016-09-15 01:15:02-05	0.67
440	2016-09-15 01:00:10-05	0.67
441	2016-09-15 00:45:09-05	0.69
442	2016-09-15 00:30:08-05	0.69
443	2016-09-15 00:15:06-05	0.68
444	2016-09-15 00:00:00-05	0.68
445	2016-09-14 23:45:14-05	0.66
446	2016-09-14 23:30:13-05	0.67
447	2016-09-14 23:15:11-05	0.66
448	2016-09-14 23:00:05-05	0.65
449	2016-09-14 22:45:04-05	0.65
450	2016-09-14 22:30:03-05	0.65
451	2016-09-14 22:15:02-05	0.66
452	2016-09-14 22:00:10-05	0.64
453	2016-09-14 21:45:08-05	0.66
454	2016-09-14 21:30:07-05	0.64
455	2016-09-14 21:15:06-05	0.65
456	2016-09-14 21:00:14-05	0.64
457	2016-09-14 20:45:13-05	0.64
458	2016-09-14 20:30:11-05	0.63
459	2016-09-14 20:15:10-05	0.62
460	2016-09-14 20:00:02-05	0.63
461	2016-09-14 19:45:00-05	0.62
462	2016-09-14 19:30:14-05	0.61
463	2016-09-14 19:15:13-05	0.59
464	2016-09-14 19:00:03-05	0.62
465	2016-09-14 18:45:01-05	0.62
466	2016-09-14 18:30:00-05	0.64
467	2016-09-14 18:15:14-05	0.63
468	2016-09-14 18:00:07-05	0.64
469	2016-09-14 17:45:06-05	0.61
470	2016-09-14 17:30:05-05	0.61
471	2016-09-14 17:15:04-05	0.59
472	2016-09-14 17:00:12-05	0.6
473	2016-09-14 16:45:11-05	0.59
474	2016-09-14 16:30:10-05	0.61
475	2016-09-14 16:15:08-05	0.59
476	2016-09-14 16:00:02-05	0.61
477	2016-09-14 15:45:01-05	0.63
478	2016-09-14 15:30:14-05	0.64
479	2016-09-14 15:15:13-05	0.64
480	2016-09-14 15:00:06-05	0.66
481	2016-09-14 14:45:05-05	0.66
482	2016-09-14 14:30:04-05	0.69
483	2016-09-14 14:15:03-05	0.67
484	2016-09-14 14:00:11-05	0.7
485	2016-09-14 13:45:10-05	0.69
486	2016-09-14 13:30:08-05	0.71
487	2016-09-14 13:15:07-05	0.71
488	2016-09-14 13:00:01-05	0.73
489	2016-09-14 12:45:00-05	0.74
490	2016-09-14 12:30:13-05	0.75
491	2016-09-14 12:15:12-05	0.74
492	2016-09-14 12:00:06-05	0.72
493	2016-09-14 11:45:05-05	0.75
494	2016-09-14 11:30:03-05	0.74
495	2016-09-14 11:15:02-05	0.76
496	2016-09-14 11:00:11-05	0.74
497	2016-09-14 10:45:09-05	0.76
498	2016-09-14 10:30:08-05	0.76
499	2016-09-14 10:15:07-05	0.77
500	2016-09-14 10:00:00-05	0.75
501	2016-09-14 09:45:14-05	0.76
502	2016-09-14 09:30:13-05	0.77
503	2016-09-14 09:15:11-05	0.75
504	2016-09-14 09:00:05-05	0.77
505	2016-09-14 08:45:03-05	0.75
506	2016-09-14 08:30:02-05	0.76
507	2016-09-14 08:15:01-05	0.75
508	2016-09-14 08:00:09-05	0.75
509	2016-09-14 07:45:08-05	0.76
510	2016-09-14 07:30:07-05	0.75
511	2016-09-14 07:15:05-05	0.76
512	2016-09-14 07:00:14-05	0.75
513	2016-09-14 06:45:13-05	0.74
514	2016-09-14 06:30:12-05	0.74
515	2016-09-14 06:15:10-05	0.75
516	2016-09-14 06:00:04-05	0.74
517	2016-09-14 05:45:02-05	0.76
518	2016-09-14 05:30:01-05	0.76
519	2016-09-14 05:15:00-05	0.75
520	2016-09-14 05:00:08-05	0.75
521	2016-09-14 04:45:07-05	0.74
522	2016-09-14 04:30:06-05	0.74
523	2016-09-14 04:15:05-05	0.75
524	2016-09-14 04:00:13-05	0.74
525	2016-09-14 03:45:11-05	0.74
526	2016-09-14 03:30:10-05	0.72
527	2016-09-14 03:15:09-05	0.74
528	2016-09-14 03:00:03-05	0.74
529	2016-09-14 02:45:02-05	0.74
530	2016-09-14 02:30:01-05	0.74
531	2016-09-14 02:15:14-05	0.75
532	2016-09-14 02:00:08-05	0.76
533	2016-09-14 01:45:06-05	0.75
534	2016-09-14 01:30:05-05	0.76
535	2016-09-14 01:15:04-05	0.75
536	2016-09-14 01:00:12-05	0.73
537	2016-09-14 00:45:11-05	0.75
538	2016-09-14 00:30:10-05	0.75
539	2016-09-14 00:15:09-05	0.75
540	2016-09-14 00:00:02-05	0.74
541	2016-09-13 23:45:01-05	0.76
542	2016-09-13 23:30:00-05	0.75
543	2016-09-13 23:15:13-05	0.77
544	2016-09-13 23:00:07-05	0.76
545	2016-09-13 22:45:06-05	0.73
546	2016-09-13 22:30:04-05	0.75
547	2016-09-13 22:15:03-05	0.77
548	2016-09-13 22:00:11-05	0.76
549	2016-09-13 21:45:10-05	0.76
550	2016-09-13 21:30:09-05	0.76
551	2016-09-13 21:15:08-05	0.76
552	2016-09-13 21:00:01-05	0.77
553	2016-09-13 20:45:00-05	0.76
554	2016-09-13 20:30:14-05	0.76
555	2016-09-13 20:15:12-05	0.75
556	2016-09-13 20:00:06-05	0.75
557	2016-09-13 19:45:05-05	0.76
558	2016-09-13 19:30:04-05	0.76
559	2016-09-13 19:15:02-05	0.75
560	2016-09-13 19:00:11-05	0.76
561	2016-09-13 18:45:09-05	0.76
562	2016-09-13 18:30:08-05	0.76
563	2016-09-13 18:15:07-05	0.77
564	2016-09-13 18:00:01-05	0.78
565	2016-09-13 17:45:14-05	0.77
566	2016-09-13 17:30:13-05	0.76
567	2016-09-13 17:15:12-05	0.77
568	2016-09-13 17:00:05-05	0.76
569	2016-09-13 16:45:04-05	0.76
570	2016-09-13 16:30:03-05	0.76
571	2016-09-13 16:15:01-05	0.77
572	2016-09-13 16:00:10-05	0.74
573	2016-09-13 15:45:08-05	0.76
574	2016-09-13 15:30:07-05	0.75
575	2016-09-13 15:15:06-05	0.75
576	2016-09-13 15:00:10-05	0.77
577	2016-09-13 14:45:09-05	0.77
578	2016-09-13 14:30:07-05	0.79
579	2016-09-13 14:15:06-05	0.78
580	2016-09-13 14:00:00-05	0.79
581	2016-09-13 13:45:13-05	0.78
582	2016-09-13 13:30:12-05	0.81
583	2016-09-13 13:15:11-05	0.79
584	2016-09-13 13:00:05-05	0.79
585	2016-09-13 12:45:03-05	0.76
586	2016-09-13 12:30:02-05	0.78
587	2016-09-13 12:15:01-05	0.78
588	2016-09-13 12:00:10-05	0.8
589	2016-09-13 11:45:08-05	0.82
590	2016-09-13 11:30:07-05	0.8
591	2016-09-13 11:15:06-05	0.81
592	2016-09-13 11:00:00-05	0.81
593	2016-09-13 10:45:13-05	0.81
594	2016-09-13 10:30:12-05	0.8
595	2016-09-13 10:15:11-05	0.82
596	2016-09-13 10:00:05-05	0.83
597	2016-09-13 09:45:03-05	0.83
598	2016-09-13 09:30:02-05	0.82
599	2016-09-13 09:15:01-05	0.81
600	2016-09-13 09:00:10-05	0.84
601	2016-09-13 08:45:08-05	0.84
602	2016-09-13 08:30:07-05	0.84
603	2016-09-13 08:15:06-05	0.84
604	2016-09-13 08:00:00-05	0.85
605	2016-09-13 07:45:13-05	0.83
606	2016-09-13 07:30:12-05	0.83
607	2016-09-13 07:15:11-05	0.85
608	2016-09-13 07:00:05-05	0.85
609	2016-09-13 06:45:03-05	0.86
610	2016-09-13 06:30:02-05	0.86
611	2016-09-13 06:15:01-05	0.85
612	2016-09-13 06:00:09-05	0.82
613	2016-09-13 05:45:08-05	0.83
614	2016-09-13 05:30:07-05	0.84
615	2016-09-13 05:15:06-05	0.85
616	2016-09-13 05:00:14-05	0.84
617	2016-09-13 04:45:13-05	0.87
618	2016-09-13 04:30:12-05	0.86
619	2016-09-13 04:15:11-05	0.85
620	2016-09-13 04:00:05-05	0.85
621	2016-09-13 03:45:03-05	0.84
622	2016-09-13 03:30:02-05	0.86
623	2016-09-13 03:15:01-05	0.84
624	2016-09-13 03:00:09-05	0.86
625	2016-09-13 02:45:08-05	0.85
626	2016-09-13 02:30:07-05	0.84
627	2016-09-13 02:15:06-05	0.86
628	2016-09-13 02:00:00-05	0.85
629	2016-09-13 01:45:13-05	0.86
630	2016-09-13 01:30:12-05	0.85
631	2016-09-13 01:15:11-05	0.87
632	2016-09-13 01:00:04-05	0.88
633	2016-09-13 00:45:03-05	0.87
634	2016-09-13 00:30:02-05	0.87
635	2016-09-13 00:15:01-05	0.87
636	2016-09-13 00:00:09-05	0.87
637	2016-09-12 23:45:08-05	0.86
638	2016-09-12 23:30:07-05	0.88
639	2016-09-12 23:15:06-05	0.88
640	2016-09-12 23:00:13-05	0.87
641	2016-09-12 22:45:12-05	0.88
642	2016-09-12 22:30:11-05	0.89
643	2016-09-12 22:15:10-05	0.87
644	2016-09-12 22:00:04-05	0.88
645	2016-09-12 21:45:02-05	0.88
646	2016-09-12 21:30:01-05	0.88
647	2016-09-12 21:15:00-05	0.88
648	2016-09-12 21:00:08-05	0.87
649	2016-09-12 20:45:07-05	0.87
650	2016-09-12 20:30:06-05	0.86
651	2016-09-12 20:15:05-05	0.88
652	2016-09-12 20:00:12-05	0.85
653	2016-09-12 19:45:11-05	0.88
654	2016-09-12 19:30:10-05	0.86
655	2016-09-12 19:15:09-05	0.87
656	2016-09-12 19:00:03-05	0.89
657	2016-09-12 18:45:01-05	0.86
658	2016-09-12 18:30:00-05	0.88
659	2016-09-12 18:15:14-05	0.88
660	2016-09-12 18:00:07-05	0.88
661	2016-09-12 17:45:06-05	0.89
662	2016-09-12 17:30:05-05	0.89
663	2016-09-12 17:15:04-05	0.88
664	2016-09-12 17:00:12-05	0.88
665	2016-09-12 16:45:11-05	0.87
666	2016-09-12 16:30:09-05	0.88
667	2016-09-12 16:15:08-05	0.88
668	2016-09-12 16:00:02-05	0.88
669	2016-09-12 15:45:00-05	0.89
670	2016-09-12 15:30:14-05	0.9
671	2016-09-12 15:15:13-05	0.9
672	2016-09-12 15:00:06-05	0.9
673	2016-09-12 14:45:05-05	0.93
674	2016-09-12 14:30:04-05	0.94
675	2016-09-12 14:15:03-05	0.94
676	2016-09-12 14:00:11-05	0.95
677	2016-09-12 13:45:09-05	0.95
678	2016-09-12 13:30:08-05	0.96
679	2016-09-12 13:15:07-05	0.97
680	2016-09-12 13:00:00-05	0.98
681	2016-09-12 12:45:14-05	0.98
682	2016-09-12 12:30:13-05	0.99
683	2016-09-12 12:15:11-05	0.99
684	2016-09-12 12:00:05-05	1.0
685	2016-09-12 11:45:04-05	1.02
686	2016-09-12 11:30:03-05	1.0
687	2016-09-12 11:15:01-05	1.01
688	2016-09-12 11:00:10-05	1.03
689	2016-09-12 10:45:09-05	1.01
690	2016-09-12 10:30:07-05	1.03
691	2016-09-12 10:15:06-05	1.02
692	2016-09-12 10:00:00-05	1.04
693	2016-09-12 09:45:13-05	1.04
694	2016-09-12 09:30:12-05	1.04
