timestamp (CST)	stage (ft)
2016-06-17 09:00:09-05	0.79
2016-06-17 09:15:00-05	0.76
2016-06-17 09:30:11-05	0.77
2016-06-17 09:45:06-05	0.76
2016-06-17 10:00:02-05	0.76
2016-06-17 10:15:12-05	0.76
2016-06-17 10:30:07-05	0.76
2016-06-17 10:45:02-05	0.76
2016-06-17 11:00:12-05	0.77
2016-06-17 11:15:07-05	0.76
2016-06-17 11:30:02-05	0.76
2016-06-17 11:45:11-05	0.75
2016-06-17 12:00:06-05	0.77
2016-06-17 12:15:01-05	0.76
2016-06-17 12:30:12-05	0.77
2016-06-17 12:45:06-05	0.76
2016-06-17 13:00:01-05	0.76
2016-06-17 13:15:12-05	0.75
2016-06-17 13:30:05-05	0.75
2016-06-17 13:45:00-05	0.75
2016-06-17 14:00:11-05	0.76
2016-06-17 14:15:07-05	0.75
2016-06-17 14:30:02-05	0.74
2016-06-17 14:45:12-05	0.74
2016-06-17 15:00:08-05	0.74
2016-06-17 15:15:03-05	0.74
2016-06-17 15:30:12-05	0.73
2016-06-17 15:45:07-05	0.73
2016-06-17 16:00:02-05	0.72
2016-06-17 16:15:11-05	0.71
2016-06-17 16:30:07-05	0.71
2016-06-17 16:45:02-05	0.7
2016-06-17 17:00:13-05	0.7
2016-06-17 17:15:08-05	0.7
2016-06-17 17:30:03-05	0.69
2016-06-17 17:45:13-05	0.69
2016-06-17 18:00:09-05	0.69
2016-06-17 18:15:04-05	0.7
2016-06-17 18:30:00-05	0.71
2016-06-17 18:45:10-05	0.71
2016-06-17 19:00:01-05	0.71
2016-06-17 19:15:12-05	0.71
2016-06-17 19:30:07-05	0.71
2016-06-17 19:45:01-05	0.72
2016-06-17 20:00:11-05	0.72
2016-06-17 20:15:07-05	0.72
2016-06-17 20:30:02-05	0.72
2016-06-17 20:45:12-05	0.72
2016-06-17 21:00:06-05	0.72
2016-06-17 21:15:02-05	0.72
2016-06-17 21:30:13-05	0.72
2016-06-17 21:45:09-05	0.73
2016-06-17 22:00:04-05	0.72
2016-06-17 22:15:14-05	0.71
2016-06-17 22:30:08-05	0.71
2016-06-17 22:45:04-05	0.73
2016-06-17 23:00:14-05	0.72
2016-06-17 23:15:09-05	0.72
2016-06-17 23:30:03-05	0.7
2016-06-17 23:45:13-05	0.71
2016-06-18 00:00:08-05	0.71
2016-06-18 00:15:02-05	0.72
2016-06-18 00:30:12-05	0.73
2016-06-18 00:45:07-05	0.71
2016-06-18 01:00:02-05	0.72
2016-06-18 01:15:13-05	0.72
2016-06-18 01:30:04-05	0.72
2016-06-18 01:45:15-05	0.72
2016-06-18 02:00:09-05	0.7
2016-06-18 02:15:04-05	0.7
2016-06-18 02:30:14-05	0.7
2016-06-18 02:45:08-05	0.7
2016-06-18 03:00:03-05	0.7
2016-06-18 03:15:13-05	0.71
2016-06-18 03:30:07-05	0.7
2016-06-18 03:45:02-05	0.7
2016-06-18 04:00:11-05	0.7
2016-06-18 04:15:06-05	0.7
2016-06-18 04:30:00-05	0.69
2016-06-18 04:45:11-05	0.7
2016-06-18 05:00:05-05	0.7
2016-06-18 05:15:00-05	0.7
2016-06-18 05:30:10-05	0.7
2016-06-18 05:45:04-05	0.7
2016-06-18 06:00:14-05	0.71
2016-06-18 06:15:08-05	0.71
2016-06-18 06:30:02-05	0.72
2016-06-18 06:45:12-05	0.72
2016-06-18 07:00:06-05	0.72
2016-06-18 07:15:01-05	0.72
2016-06-18 07:30:11-05	0.71
2016-06-18 07:45:06-05	0.72
2016-06-18 08:00:01-05	0.74
2016-06-18 08:15:10-05	0.77
2016-06-18 08:30:05-05	0.76
2016-06-18 08:45:15-05	0.76
